  -28.0,         21.0,        -28.0,         21.5
  -28.0,         21.0,        -26.0,         21.0
  -31.526,       16.830,      -29.992,       16.901
  -29.992,       16.901,      -29.992,       15.209
  -17.996,       7.146,       -18.011,       7.587
  -16.035,       7.518,       -16.019,       7.052
  -18.015,       7.527,       -16.040,       7.573
  -7.451,        7.165,       -6.560,        7.764
  -5.662,        7.773,       -6.560,        7.764
  -26.008,       2.923,       -24.017,       5.091
  -24.017,       5.091,       -22.007,       2.923
  -16.084,       10.696,      -12.718,       10.855
  -27.741,       6.821,       -25.744,       5.801
  -23.133,       15.207,      -20.801,       17.726
  -22.137,       5.243,       -19.816,       6.837
  -21.964,       13.315,      -19.228,       12.275
